PERIODIC POLLING,,,,,,,,
,,,,,,,,
grain size, period [us], duty cycle, relative latency (1/1024 periods), latency [us], latency resolution [us], missed events, time elapsed [ms], tasks completed
  20,  164, 12%,  26744,   6418,   160,      527,    102,  16000
  20,  164, 25%,   6354,   1524,   160,      441,    102,  16000
  20,  164, 37%,   8445,   2026,   160,      439,    102,  16000
  20,  164, 50%,   4353,   1044,   160,      435,    102,  16000
  20,  164, 62%,   7170,   1720,   160,      437,    103,  16000
  20,  164, 75%,   8899,   2135,   160,      443,    102,  16000
  20,  164, 87%,  27371,   6569,   160,      537,    103,  16000
  20,  246, 12%,  15480,   5572,   240,      313,    103,  16000
  20,  246, 25%,   9366,   3371,   240,      220,    102,  16000
  20,  246, 37%,   5264,   1895,   240,      124,    102,  16000
  20,  246, 50%,   2506,    902,   240,       46,    103,  16000
  20,  246, 62%,   5373,   1934,   240,      126,    102,  16000
  20,  246, 75%,   9590,   3452,   240,      216,    103,  16000
  20,  246, 87%,  15841,   5702,   240,      311,    102,  16000
  20,  328, 12%,   9310,   4468,   320,      211,    102,  16000
  20,  328, 25%,   4195,   2013,   320,      110,    102,  16000
  20,  328, 37%,   1297,    622,   320,       19,    102,  16000
  20,  328, 50%,   1303,    625,   320,        8,    103,  16000
  20,  328, 62%,   1286,    617,   320,       20,    102,  16000
  20,  328, 75%,   4321,   2074,   320,      112,    102,  16000
  20,  328, 87%,   9569,   4593,   320,      215,    103,  16000
  20,  410, 12%,   4160,   2496,   400,      150,    102,  16000
  20,  410, 25%,   3280,   1968,   400,       45,    102,  16000
  20,  410, 37%,   1316,    789,   400,        4,    102,  16000
  20,  410, 50%,   1053,    631,   400,        1,    103,  16000
  20,  410, 62%,   1260,    756,   400,        9,    102,  16000
  20,  410, 75%,   2391,   1434,   400,       52,    103,  16000
  20,  410, 87%,   4348,   2608,   400,      150,    102,  16000
  20,  492, 12%,   5189,   3736,   480,      113,    103,  16000
  20,  492, 25%,   1110,    799,   480,       11,    102,  16000
  20,  492, 37%,    352,    253,   480,        0,    102,  16000
  20,  492, 50%,    360,    259,   480,        0,    102,  16000
  20,  492, 62%,    363,    261,   480,        0,    102,  16000
  20,  492, 75%,   1266,    911,   480,       10,    102,  16000
  20,  492, 87%,   8370,   6026,   480,      107,    103,  16000
  20,  574, 12%,   6263,   5260,   560,       81,    102,  16000
  20,  574, 25%,   1225,   1029,   560,        7,    102,  16000
  20,  574, 37%,    307,    257,   560,        0,    102,  16000
  20,  574, 50%,   1094,    918,   560,        1,    103,  16000
  20,  574, 62%,    305,    256,   560,        0,    102,  16000
  20,  574, 75%,   1128,    947,   560,        9,    103,  16000
  20,  574, 87%,   5327,   4474,   560,       75,    102,  16000
  20,  656, 12%,   4175,   4008,   640,       62,    102,  16000
  20,  656, 25%,    247,    237,   640,        0,    102,  16000
  20,  656, 37%,   1118,   1073,   640,        1,    103,  16000
  20,  656, 50%,    264,    253,   640,        0,    102,  16000
  20,  656, 62%,    273,    262,   640,        0,    102,  16000
  20,  656, 75%,    267,    256,   640,        0,    102,  16000
  20,  656, 87%,   4282,   4110,   640,       60,    102,  16000
  20,  738, 12%,   2096,   2263,   720,       37,    102,  16000
  20,  738, 25%,   1069,   1154,   720,        1,    103,  16000
  20,  738, 37%,    229,    247,   720,        0,    102,  16000
  20,  738, 50%,   1124,   1213,   720,        1,    102,  16000
  20,  738, 62%,    240,    259,   720,        0,    102,  16000
